sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
TA.OE002_PC3_72H:CCSBBROAD304_06179:-666	CCSBBROAD304_06179	CCSBBROAD304_06179	ERG	trt_oe	PC3		72 h	1	0.57
TA.OE003_A375_72H:BRDN0000464967:-666	BRDN0000464967	BRDN0000464967	JAK2	trt_oe	A375		72 h	1	0.59
TA.OE003_A375_72H:CCSBBROAD304_00282:-666	CCSBBROAD304_00282	CCSBBROAD304_00282	CDKN1A	trt_oe	A375		72 h	1	0.52
TA.OE003_A375_72H:CCSBBROAD304_02292:-666	CCSBBROAD304_02292	CCSBBROAD304_02292	BCL2L11	trt_oe	A375		72 h	1	0.42
TA.OE003_PC3_72H:BRDN0000464908:-666	BRDN0000464908	BRDN0000464908	TP53	trt_oe	PC3		72 h	1	0.41
TA.OE006_A549_96H:BRDN0000553487:-666	BRDN0000553487	BRDN0000553487	KRAS	trt_oe	A549		96 h	1	0.62
TA.OE006_A549_96H:BRDN0000553540:-666	BRDN0000553540	BRDN0000553540	PTEN	trt_oe	A549		96 h	1	0.41
TA.OE006_A549_96H:BRDN0000560659:-666	BRDN0000560659	BRDN0000560659	KRAS	trt_oe	A549		96 h	1	0.46
TA.OE007_A549_96H:BRDN0000464967:-666	BRDN0000464967	BRDN0000464967	JAK2	trt_oe	A549		96 h	1	0.3
TA.OE007_A549_96H:BRDN0000464969:-666	BRDN0000464969	BRDN0000464969	STAT3	trt_oe	A549		96 h	1	0.48
TA.OE007_A549_96H:BRDN0000464992:-666	BRDN0000464992	BRDN0000464992	AKT1	trt_oe	A549		96 h	1	0.53
TA.OE007_A549_96H:BRDN0000464994:-666	BRDN0000464994	BRDN0000464994	ERG	trt_oe	A549		96 h	1	0.55
TA.OE007_A549_96H:BRDN0000465013:-666	BRDN0000465013	BRDN0000465013	AKT1	trt_oe	A549		96 h	1	0.42
