gene_id	gene_symbol	gene_title	gene_type	src	feature_space
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	protein-coding	NCBI	best inferred
5970	RELA	RELA proto-oncogene, NF-kB subunit	protein-coding	NCBI	best inferred
6198	RPS6KB1	ribosomal protein S6 kinase B1	protein-coding	NCBI	best inferred
6502	SKP2	S-phase kinase associated protein 2	protein-coding	NCBI	best inferred
6608	SMO	smoothened, frizzled class receptor	protein-coding	NCBI	best inferred
6773	STAT2	signal transducer and activator of transcription 2	protein-coding	NCBI	best inferred
6776	STAT5A	signal transducer and activator of transcription 5A	protein-coding	NCBI	best inferred
6778	STAT6	signal transducer and activator of transcription 6	protein-coding	NCBI	best inferred
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	protein-coding	NCBI	best inferred
7124	TNF	tumor necrosis factor	protein-coding	NCBI	best inferred
7132	TNFRSF1A	TNF receptor superfamily member 1A	protein-coding	NCBI	best inferred
7150	TOP1	DNA topoisomerase I	protein-coding	NCBI	best inferred
7248	TSC1	TSC complex subunit 1	protein-coding	NCBI	best inferred
7249	TSC2	TSC complex subunit 2	protein-coding	NCBI	best inferred
7297	TYK2	tyrosine kinase 2	protein-coding	NCBI	best inferred
7314	UBB	ubiquitin B	protein-coding	NCBI	best inferred
8242	KDM5C	lysine demethylase 5C	protein-coding	NCBI	best inferred
8651	SOCS1	suppressor of cytokine signaling 1	protein-coding	NCBI	best inferred
8841	HDAC3	histone deacetylase 3	protein-coding	NCBI	best inferred
9021	SOCS3	suppressor of cytokine signaling 3	protein-coding	NCBI	best inferred
9474	ATG5	autophagy related 5	protein-coding	NCBI	best inferred
10000	AKT3	AKT serine/threonine kinase 3	protein-coding	NCBI	best inferred
10018	BCL2L11	BCL2 like 11	protein-coding	NCBI	best inferred
10135	NAMPT	nicotinamide phosphoribosyltransferase	protein-coding	NCBI	best inferred
10533	ATG7	autophagy related 7	protein-coding	NCBI	best inferred
23028	KDM1A	lysine demethylase 1A	protein-coding	NCBI	best inferred
55294	FBXW7	F-box and WD repeat domain containing 7	protein-coding	NCBI	best inferred
81631	MAP1LC3B	microtubule associated protein 1 light chain 3 beta	protein-coding	NCBI	best inferred
